							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
90	Benzoate	Benzoate	C00180				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.6	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.15	N.D.
91	Val	L-Valine	C00183	C06417	C16436		3.4	3.7	4.1	4.2	3.9	4	4	3.8	3.5	3.8	3.7	3.8	3.5	3.6	3.6	3.3	3.6	3.6	4	3.7	3.8	3.3	3.4	3.6	3.3	3.1	3.6	3.5	3.3	3.2	3.1	3.6	3.2	3.2	3.2	3.3	3.3	3	3.1	3.1	3.3	3.3	3.6	3.4	3.5	3.1	3.2	3.2	2.8	3.2	3.3	3.4	3.3	3.2	3.2	3.4	2.9	3.2	3.4	3.2	2.9	3.1	3	3.2	3	3.3	3.3	3.2	3.3	2.9	3	3.1	-0.439295062
92	Lactate	(S)-Lactate	C00186	C00256			6.8	7.1	5.3	6.5	5.9	6.3	7.5	7	7.5	6.1	4.7	5.7	6.6	5.8	5.6	6.3	6.2	5.2	6.1	5.3	5.1	5.1	6.2	5.8	9.1	7.1	9	8.3	8.2	7.6	11.9	7.7	9.3	6.1	7.8	6.6	8.8	7.1	6	7.7	6.2	6	7.6	7.1	6.5	6.3	6.8	6.8	13	16	18	17	14	14	13	14	13	17	14	12	12	13	14	13	14	12	14	13	12	13	12	14	-0.259198205
93	Thr	L-Threonine	C00188	C00820			6.2	7.5	8.2	8.8	9.7	9.8	10	9.5	7.1	8.1	8	9.1	9.9	11	11	10	7.4	8.5	8.4	8.8	10	10	11	11	5.6	5.1	5.9	6.5	6.7	6.8	6.9	7.7	5.2	5.2	5.4	6.1	6.8	6.7	7.6	7.6	5.2	5.3	5.9	6.4	7.3	7.1	7.9	8.5	6.4	7.2	7.7	8.2	9.1	9.3	9.4	9.2	6.8	7.2	7.7	8	8.7	9.2	9.4	11	6.9	7.3	7.3	7.9	9.7	9.5	10	11	0.329744448
94	Glucuronate	D-Glucuronate	C00191	C16245			0.21	0.39	0.21	0.28	0.32	0.26	0.23	0.2	0.32	0.35	0.31	0.37	0.32	0.34	0.28	0.31	0.27	0.37	0.36	0.42	0.38	N.D.	0.29	0.25	0.36	0.36	0.42	0.32	0.35	0.32	0.29	0.28	0.39	0.43	0.43	0.39	0.37	0.4	0.32	0.29	0.36	0.43	0.41	0.4	0.41	0.37	0.32	0.28	0.28	0.33	0.31	0.31	0.28	0.31	0.31	0.26	0.3	0.35	0.36	0.33	0.29	0.3	0.22	0.3	0.25	0.34	0.35	0.36	0.33	0.27	0.27	0.28	0.543772839
95	Ru5P	D-Ribulose 5-phosphate	C00199	C01101			0.15	0.27	0.11	0.13	0.16	0.15	0.088	0.087	0.17	0.13	0.2	0.15	0.16	0.21	0.13	0.16	0.11	0.19	0.17	0.19	0.19	0.18	0.11	0.13	0.17	0.2	0.24	0.27	0.17	0.19	0.18	0.19	0.14	0.19	0.19	0.25	0.2	0.2	0.13	0.17	0.15	0.21	0.2	0.17	0.24	0.22	0.16	0.18	0.12	0.12	0.17	0.14	0.13	0.14	0.15	0.15	0.15	0.15	0.12	0.17	0.12	0.12	0.093	0.12	0.09	0.16	0.11	0.13	0.13	0.087	0.098	0.09	-0.199477259
96	Adenosine	Adenosine	C00212				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0079	0.0072	N.D.	N.D.	N.D.	0.0064	N.D.	N.D.	N.D.	N.D.	0.018	0.0052	N.D.	0.0068	N.D.	0.0065	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
97	Thymidine	Thymidine	C00214				13	16	15	12	13	15	15	13	16	13	14	12	13	15	13	11	15	12	16	12	13	12	15	10	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	12	12	11	12	11	11	11	10	12	11	12	12	14	12	9.6	12	13	12	12	12	12	11	11	12	-0.35220899
98	dCMP	dCMP	C00239				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	0.015	0.019	0.012	0.021	0.014	0.016	0.015	0.017	0.015	0.02	0.014	0.014	N.D.	N.D.	N.D.	N.D.	0.019	0.015	0.02	0.019	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
99	Guanine	Guanine	C00242				N.D.	N.D.	N.D.	N.D.	0.07	N.D.	N.D.	N.D.	N.D.	0.077	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.11	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.073	N.D.	N.D.	N.D.	N.D.	0.075	N.D.	N.D.	0.091	N.D.	0.057	N.D.	0.083	N.D.	0.079	N.D.	N.D.	N.D.
100	Taurine	Taurine	C00245				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.32	0.3	0.33	N.D.	N.D.	0.26	N.D.	0.28	0.25	N.D.	0.23	0.3	0.16	0.28	N.D.	N.D.	0.35	0.28	0.29	0.24	0.33	0.25	0.28	0.24	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.819015433
101	Butanoate	Butanoic acid	C00246				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.17	N.D.	N.D.	0.14	N.D.	0.15	0.18	0.23	N.D.	0.2	0.17	0.19	N.D.	0.25	0.17	0.093	0.27	0.26	0.22	0.23	N.D.	N.D.	N.D.	N.D.	N.D.	0.22	0.23	0.23	N.D.	0.19	0.24	0.23	0.23	0.23	N.D.	0.26	0.28	0.2	0.23	0.26	0.16	0.17	0.17	0.14	0.16	0.15	N.D.	0.17	N.D.	N.D.	0.21	0.22	0.15	0.24	0.25	0.2	0.18	0.28	N.D.	0.31	0.23	0.26	0.22	0.26	0.657808243
102	alpha-Lipoamide	Lipoamide	C00248				6	5.8	6.5	5.6	6.7	6.5	5.9	6.7	6.4	6.9	7	6.5	5.9	6.3	6.5	7.9	6.9	6.9	7.8	7.7	8.1	7.5	7.6	6.8	3.7	4.3	3.4	4.1	3.6	3.5	5.1	5.2	4.4	6.8	4.2	4.6	4.9	4.8	4.5	4.5	4.7	5.4	3.1	5	5.4	4.6	4.6	4.9	6.2	6.6	6.8	7.2	6.5	7.3	7.4	7	7.7	6.8	8.1	5.6	5.3	5.7	5.6	5.5	5.7	5.7	5.8	6.6	5.6	6	6.1	6.2	0.262719812
103	Pyridoxal	Pyridoxal	C00250				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
104	Riboflavin	Riboflavin	C00255				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.09	0.073	0.078	0.08	0.067	0.066	0.047	0.062	0.023	0.061	0.052	0.054	0.056	0.054	0.046	0.043	0.05	0.058	0.046	N.D.	0.054	0.031	0.031	0.028	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.392341936
105	Glycerate	D-Glycerate	C00258				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.81	N.D.	0.69	N.D.	0.77	N.D.	0.79	N.D.	N.D.	N.D.	1.1	N.D.	0.82	0.91	0.8	0.64	0.86	0.71	0.78	0.58	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
106	Hypoxanthine	Hypoxanthine	C00262				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.052	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
107	Homoserine	L-Homoserine	C00263				0.06	0.11	N.D.	N.D.	0.081	0.083	N.D.	0.085	0.13	0.092	0.12	N.D.	0.11	0.13	0.074	0.079	0.12	0.15	0.11	0.12	0.14	0.15	0.13	0.12	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.06	N.D.	0.045	0.044	N.D.	0.037	N.D.	0.069	N.D.	N.D.	0.078	0.053	N.D.	N.D.	0.083	0.082	N.D.	N.D.	0.068	N.D.	0.043	N.D.	0.051	N.D.	N.D.	N.D.	0.094	N.D.	N.D.	0.1	0.638551647
108	N-Acetylneuraminate	N-Acetylneuraminate	C00270				0.3	0.13	0.46	0.4	0.24	0.29	0.42	0.46	0.14	0.26	0.24	0.22	0.19	0.099	0.24	0.16	0.23	0.12	0.24	0.13	0.13	0.083	0.22	0.15	0.089	0.099	0.096	0.11	0.12	0.14	0.13	0.13	0.12	0.1	0.098	0.09	0.13	0.095	0.05	0.13	0.11	0.078	0.067	0.11	0.096	0.078	0.11	0.094	0.12	0.12	0.083	0.14	0.1	0.13	0.1	0.14	0.18	0.13	0.17	0.12	0.17	0.21	0.23	0.19	0.2	0.16	0.18	0.2	0.19	0.21	0.21	0.2	-0.226989706
109	Creatine	Creatine	C00300				1	0.92	1.2	1.2	0.93	1	1.2	1	1	1.1	1.1	1.1	0.95	1.1	1.1	1	1.1	1.1	1.2	1.1	1	0.99	1	1.1	1	0.95	1	1.1	0.92	0.78	0.83	0.79	0.79	0.74	0.72	0.75	0.72	0.66	0.71	0.75	0.71	0.66	0.78	0.88	0.76	0.73	0.81	0.78	0.93	0.95	1	1.1	1	1.1	1.1	1	0.99	0.97	1.2	1.1	0.97	1	1	1.1	0.95	0.89	1.1	1.2	1.1	1.1	1.1	1.1	-0.311540918
110	ADP-ribose	ADP-ribose	C00301	C01882			N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.083	N.D.	N.D.	N.D.	N.D.	N.D.	0.061	N.D.	0.077	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
111	CDP-choline	CDP-choline	C00307				1.3	1.5	1.2	0.84	1.5	1.5	0.82	1.7	1.3	1.3	1.2	0.98	1.2	1.3	1	1.5	1.5	1.7	0.98	0.92	1.3	1.1	1	1.6	0.78	0.53	0.7	0.62	0.61	0.84	0.88	0.91	0.73	0.58	0.67	0.59	0.64	0.81	0.81	0.9	0.68	0.65	0.64	0.63	0.55	0.66	0.71	0.78	0.44	0.33	0.39	0.45	0.54	0.54	0.6	0.66	0.47	0.38	0.36	0.3	0.41	0.48	0.5	0.55	0.45	0.38	0.35	0.37	0.33	0.36	0.48	0.53	-0.162789832
112	Pyridoxine	Pyridoxine	C00314				0.025	0.036	0.038	0.042	0.054	0.06	0.063	0.036	0.047	0.038	0.037	0.045	0.05	0.05	0.049	0.066	0.034	0.045	0.049	0.044	N.D.	0.048	0.065	0.048	0.074	0.05	0.058	0.064	0.07	0.064	0.064	0.047	0.043	0.039	0.031	0.037	0.042	0.031	0.038	0.047	0.042	0.027	0.04	0.033	0.03	0.03	0.032	0.034	N.D.	0.037	0.027	0.03	0.041	0.025	0.043	0.041	0.045	0.027	0.029	0.029	0.024	0.033	0.033	0.035	0.047	0.026	0.029	0.02	0.04	0.029	0.028	0.045	-0.538929743
113	Spermidine	Spermidine	C00315				0.014	0.039	0.02	0.015	0.014	0.022	0.033	0.013	0.032	0.021	0.023	0.022	0.036	0.028	0.02	0.016	0.035	0.018	0.032	0.018	0.026	0.029	0.03	0.019	0.043	0.033	0.026	0.036	0.028	0.025	0.025	0.028	0.028	0.023	0.031	0.029	0.036	0.024	0.032	0.036	0.02	0.034	0.029	0.029	0.05	0.049	0.021	0.026	0.021	0.019	0.021	0.021	0.016	0.017	0.025	0.021	0.026	0.017	0.022	0.018	0.031	0.023	0.017	0.032	0.018	0.025	0.022	0.017	0.02	0.022	0.028	0.024	0.484671271
114	Carnitine	L-Carnitine	C00318	C00487	C15025		N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.008	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	0.003	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
115	Citrulline	L-Citrulline	C00327				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.056	0.074	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.027	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.041	N.D.	0.032	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.081	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
116	Glucosamine	D-Glucosamine	C00329				N.D.	N.D.	0.065	0.046	0.043	0.041	0.049	0.046	0.039	0.06	0.046	0.034	0.032	N.D.	0.046	N.D.	0.043	0.038	0.061	0.036	0.047	0.031	0.048	0.046	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	0.017	0.016	N.D.	0.025	N.D.	N.D.	N.D.	N.D.	N.D.	0.027	N.D.	N.D.	0.023	N.D.	N.D.	N.D.	0.034	N.D.	N.D.	0.032	N.D.	N.D.	0.035	0.032	N.D.	0.045	N.D.
117	GABA	4-Aminobutanoate	C00334				0.026	N.D.	0.036	0.026	N.D.	0.038	0.037	0.036	0.028	N.D.	0.031	N.D.	0.035	N.D.	0.039	0.044	0.049	N.D.	0.023	0.033	0.035	0.057	0.064	0.063	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.03	N.D.	N.D.	N.D.	N.D.	0.03	N.D.	0.03	0.023	0.033	0.042	0.027	0.034	0.037	N.D.	0.047	0.028	0.037	0.039	0.039	N.D.	0.028	0.034	0.042	0.043	0.037	0.036	0.027	N.D.	0.038	0.038	0.032	0.043	0.039	0.04	0.415204184
118	6-Phosphogluconate	6-Phospho-D-gluconate	C00345				0.038	0.049	0.036	0.032	0.03	0.043	0.036	0.034	0.043	0.035	0.039	0.038	0.03	0.033	0.025	0.046	0.032	0.032	0.031	0.036	0.035	0.041	0.042	0.033	0.044	0.056	0.045	N.D.	0.056	0.071	0.057	0.071	N.D.	N.D.	0.055	N.D.	0.052	0.045	0.03	0.032	0.037	N.D.	0.051	0.037	0.031	0.053	0.055	0.048	0.028	0.033	0.027	0.023	0.026	0.029	0.039	0.029	0.023	0.023	0.028	0.022	0.025	0.023	0.02	0.021	0.025	0.027	0.025	0.03	0.024	0.027	0.019	0.024	-0.494454586
119	Ethanolamine phosphate	Ethanolamine phosphate	C00346				0.25	0.3	0.25	0.16	0.23	0.15	0.092	0.22	0.23	0.3	0.24	0.19	0.13	0.19	0.13	0.26	0.23	0.38	0.17	0.15	0.19	0.2	0.12	0.26	0.14	0.14	0.13	0.12	0.14	0.18	0.19	0.21	0.17	0.18	0.2	0.17	0.18	0.13	0.14	0.16	0.13	0.23	0.23	0.19	0.16	0.12	0.15	0.15	0.073	0.16	0.13	0.092	0.11	0.1	0.1	0.12	0.097	0.14	0.12	0.12	0.083	0.082	0.069	0.096	0.096	0.15	0.14	0.11	0.086	0.085	0.098	0.1	-0.181489043
120	N-Acetylglucosamine 6-phosphate	N-Acetyl-D-glucosamine 6-phosphate	C00357				0.1	0.19	0.17	0.14	0.11	0.12	0.1	0.11	0.11	0.15	0.16	0.12	0.084	0.092	0.088	0.099	0.084	0.14	0.13	0.096	0.091	0.082	0.077	0.091	0.071	0.082	0.11	0.1	0.08	0.079	0.074	0.078	0.058	0.089	0.088	0.1	0.069	0.071	0.053	0.055	0.065	0.081	0.076	0.066	0.072	0.068	0.05	0.069	0.076	0.091	0.14	0.14	0.097	0.092	0.097	0.082	0.075	0.09	0.12	0.11	0.067	0.057	0.071	0.065	0.073	0.092	0.099	0.094	0.071	0.063	0.055	0.064	-0.787768824
121	dUMP	dUMP	C00365				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.023	N.D.	0.033	N.D.	0.026	0.031	0.032	N.D.	N.D.	0.034	N.D.	N.D.	N.D.	N.D.	0.023	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
122	Thiamine	Thiamine	C00378				0.31	0.34	0.3	0.38	0.43	0.4	0.42	0.42	0.31	0.31	0.27	0.25	0.46	0.43	0.44	0.54	0.33	0.36	0.28	0.3	0.54	0.48	0.44	0.5	0.17	0.15	0.17	0.16	0.19	0.18	0.19	0.22	0.17	0.15	0.12	0.11	0.18	0.2	0.2	0.21	0.18	0.14	0.097	0.12	0.21	0.2	0.21	0.24	0.31	0.33	0.27	0.26	0.31	0.32	0.33	0.38	0.33	0.37	0.22	0.17	0.31	0.28	0.28	0.44	0.3	0.28	0.2	0.2	0.37	0.37	0.39	0.43	0.258262045
123	Malonate	Malonate	C00383				0.064	0.056	0.053	0.056	0.042	0.049	0.061	0.074	0.062	0.026	0.047	0.061	0.058	0.053	0.07	N.D.	0.048	0.06	0.044	0.036	N.D.	0.05	0.066	0.051	0.15	0.14	0.11	0.14	0.097	0.086	0.1	0.12	0.14	0.085	0.098	0.13	0.12	0.13	0.12	0.14	0.14	0.098	0.094	0.088	0.12	0.094	0.13	0.086	0.045	N.D.	N.D.	N.D.	N.D.	N.D.	0.054	N.D.	0.062	0.052	0.043	0.051	0.048	0.07	0.051	0.058	0.064	0.05	0.07	N.D.	N.D.	0.053	0.047	0.076	-0.317111987
124	Carnosine	Carnosine	C00386				0.016	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	0.012	N.D.	0.016	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	N.D.	N.D.	N.D.	0.022	N.D.	N.D.	0.017	N.D.	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.022	N.D.	N.D.	N.D.	N.D.	0.015	N.D.	N.D.	0.012	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.015	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.747204005
125	Guanosine	Guanosine	C00387				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.02	N.D.	0.011	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
126	Histamine	Histamine	C00388				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0098	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
127	Tryptamine	Tryptamine	C00398				N.D.	0.047	N.D.	N.D.	N.D.	0.032	N.D.	N.D.	0.043	0.016	N.D.	N.D.	N.D.	0.055	N.D.	N.D.	0.03	0.053	N.D.	0.066	0.045	N.D.	0.031	0.035	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
128	Ile	L-Isoleucine	C00407	C06418	C16434		9.9	11	12	11	11	11	12	12	11	11	11	11	11	11	11	12	12	12	12	11	12	11	11	11	10.3	9.8	10.4	10.3	10.4	10.3	9.6	11.3	10	10	10.2	9.7	9.9	9.3	9.8	10.7	10.4	10.4	10.7	10.1	10.4	9.9	10	11	9.3	10	10	11	12	11	10	11	9.8	11	12	10	10	10	9.8	12	10	10	11	10	11	10	9.9	11	-0.328182467
129	Pipecolate	L-Pipecolate	C00408				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.031	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
